"name","mz","mzmin","mzmax","rt","rtmin","rtmax","npeaks",".","X250K1_pos","CMD.CTRL.GP1_Brain_pos","CMD.CTRL.GP1_Gastroc_pos","CMD.CTRL.GP1_Heart_pos","CMD.CTRL.GP1_Kidney_pos","CMD.CTRL.GP1_Liver_pos","CMD.CTRL.GP1_Pancreas_pos","CMD.CTRL.GP1_Quad_pos","CMD.CTRL.GP1_Spleen_pos","CMD.GP2_Brain_pos","CMD.GP2_Gastroc_pos","CMD.GP2_Heart_pos","CMD.GP2_Kidney_pos","CMD.GP2_Liver_pos","CMD.GP2_Pancreas_pos","CMD.GP2_Quad_pos","CMD.GP2_Spleen_pos","CMD.GP3_Brain_pos","CMD.GP3_Gastroc_pos","CMD.GP3_Heart_pos","CMD.GP3_Kidney_pos","CMD.GP3_Liver_pos","CMD.GP3_Pancreas_pos","CMD.GP3_Quad_pos","CMD.GP3_Spleen_pos","QC.250K2_pos","QC.Blank2_pos","QC.Pool1_pos","QC.Pool2_pos"
"M116T601",116.034029521059,116.033977004386,116.034086006733,600.518,597.069,633.272,27,22,3449523.59036457,3943286.26335,162434.953841845,4821731.93147345,6453091.13649375,1551646.99360157,2175770.29014582,0,11595137.8079318,11643533.6835234,57202.5889326731,1367330.00450977,5216844.2542625,1337401.51561768,1687434.33637982,0,11169714.5947372,4574372.34807293,33602.4941253662,5898552.49855202,4706947.86209374,1728078.16653385,2315025.53707383,0,10319906.1595738,2310017.9283538,0,1283558.67686475,948211.16040234
"M116T621_1",116.05857949835,116.055009569588,116.059842076455,620.957,618.002,624.322,17,17,2689189.29449297,137993.620167642,186864.498982029,181535.267948383,400494.244781252,480432682.326416,683819.698356033,371542.657484095,591137.806423827,904299394.629724,1087786109.23556,690062148.673654,1336061.58118749,1299298859.12521,1676459.09524592,981822650.156808,1173092.4914249,352125883.69009,716003.679340818,452915.966330356,256018.408685266,535369956.785714,1772267.83047039,733420782.17538,770609956.718759,4937438.47446795,1169458.06140963,382671.481821096,1229456774.48639
"M116T621_2",116.070397893136,116.070344362247,116.070451605288,620.503,598.837,622.652,30,28,5447814280.278,343398559.884788,835338804.865908,324596282.370127,710632564.436271,515755204.920823,1377115437.6,587190227.373162,770666001.14035,961489205.654998,1149062758.70401,771460607.031596,1145519602.3006,1588398380.17249,2093402161.07099,1044210955.96079,1333612656.75989,382491943.169338,824578136.477994,686263767.168452,590915941.747002,583969821.340888,1751311835.63835,775604491.920146,911314593.779404,5035955615.73087,1739884.22252502,417634614.513155,1380460957.35889
"M116T658",116.070415549438,116.07026804719,116.070526118537,658.401,635.896,673.012,31,18,209297013.295999,4652407.18603134,10782645.4653501,3299572.5253489,5923341.80864692,6581074.65580919,18677149.4645521,5881535.35325865,9092528.85073853,11198812.5659375,17992903.2075,9196360.42093743,10421532.3409109,25502081.0089375,28616629.1257155,12063215.7624461,17184825.6466311,49020290.3703751,11141209.0729062,22583849.3352501,10575022.7908125,11860781.5070001,20481135.5421187,10115657.8612188,10297958.1007555,235682107.230168,1408146.54350281,6460105.22472382,16983404.2297672
"M117T648",117.065669311941,117.065604226954,117.067497294178,648.1,639.832,657.589,23,21,291195.281593747,1220459.94146541,2914638.81612656,418210.814790726,758048.688218505,4867251.42591965,4140695.88621945,5356079.38372528,689868.104912103,3075978.24407812,5472080.5030596,423496.860573105,2033056.87023226,6420216.21061332,11495125.2358344,6540444.15888282,12758921.2535731,708607.367908425,2151041.37163162,2446277.35223905,2103678.96106445,8576363.55229887,5485923.03864267,11319901.110625,13039195.7368235,1248944.86551281,376564.908435774,4395437.84248565,43854236.2365471
"M117T621",117.073725409672,117.073676235227,117.07378384646,620.8755,618.002,622.652,28,28,300447648.521875,28306787.313393,48565326.5358664,20669483.9692814,42886571.181131,32989760.7447702,129965029.614,34491037.4216195,50877887.6297125,89293394.6934842,66225947.9922006,45752432.9796373,67396184.4049735,93819096.6129056,157991164.493999,59907886.2922495,81843895.6910996,45317916.2734392,50142322.0956653,42775350.2365876,37266170.0731564,38952713.292348,188511293.720085,46700763.2350154,64409943.0237753,276422439.11318,479352.669927788,26999203.8083248,82031130.5893492
"M118T707",118.060914555778,118.060871564469,118.060977058667,706.608,690.217,718.65,35,27,19310108.7781754,37857158.8561876,34507704.6142361,39209651.4102607,245303788.096712,80281511.9293826,17357014.8271875,25569435.0008028,57219758.6024094,49661411.6927292,52761681.3923955,119276188.205376,436518546.82153,814079831.068006,612707368.519496,39359102.4985555,93932040.9089103,26646236.1558749,46344182.5629619,488718584.423496,517366222.557777,1301783358.58666,906755643.195226,47710089.7459683,83085066.7879583,19023965.8831673,350346.708062013,67812382.0024365,697946834.735422
"M118T731",118.060939441178,118.060733367808,118.060969340433,731.311,719.561,747.22,28,17,22142235.5028534,18298220.1260376,2083571.32558736,2620766.09222806,17221321.0151846,4770161.19821429,22645345.8722591,408943.268963538,1667484.73825674,19421803.6690626,21016275.4218038,18133745.422266,28576358.2055681,27898957.8174519,37530937.1959502,593267.754313151,2145715.25256077,19688510.6085577,227847.537498049,31220079.5361002,28547289.759075,81815541.9994376,28588662.9077498,22605453.0461884,2739103.578125,22619132.1677456,16196188.5311899,17728410.8459949,18639479.266367
"M118T489",118.064950985872,118.064726556976,118.065487354817,488.573,486.686,504.356,28,28,8869608.91270421,643158.37359375,1464849.82918242,1494975.94278398,1401450.33073828,1404483.94425846,2415103.04186458,1227248.90594358,1744324.10627607,2889863.9984352,1431826.26573535,1413325.82069444,1583398.3688042,2068157.08269393,4125955.09140451,1363851.72715992,1758091.58741536,773564.641502689,985176.141357811,1487890.18218608,925160.793501951,1254939.76170075,3775144.51452217,1341271.83969219,1751873.19981626,3875771.41867929,105377002.174508,948913.598554685,1285011.12570059
"M118T105",118.06490120951,118.064824802728,118.064975760854,104.582,97.6321,114.777,24,20,4883605.13540962,4638326.59748047,1775936.01436719,2541864.90987305,5652688.288948,4147617.92242009,4280383.39219591,3865762.19793102,1688455.02676339,5528985.61982503,3789110.84651318,3391998.00362793,2485004.61814375,4079479.77369406,2231973.16982205,1468482.83918457,2616715.03175458,2373890.72398058,1980092.88716146,775109.105710504,2355211.30598082,4129361.71789161,4364112.05201741,1614326.74112988,3872378.75502205,1667293.60605208,2396450.47986411,3659683.49815219,3596075.56870773
