"name","mz","mzmin","mzmax","rt","rtmin","rtmax","npeaks",".","X250K1_pos","CMD.CTRL.GP1_Brain_pos","CMD.CTRL.GP1_Gastroc_pos","CMD.CTRL.GP1_Heart_pos","CMD.CTRL.GP1_Kidney_pos","CMD.CTRL.GP1_Liver_pos","CMD.CTRL.GP1_Pancreas_pos","CMD.CTRL.GP1_Quad_pos","CMD.CTRL.GP1_Spleen_pos","CMD.GP2_Brain_pos","CMD.GP2_Gastroc_pos","CMD.GP2_Heart_pos","CMD.GP2_Kidney_pos","CMD.GP2_Liver_pos","CMD.GP2_Pancreas_pos","CMD.GP2_Quad_pos","CMD.GP2_Spleen_pos","CMD.GP3_Brain_pos","CMD.GP3_Gastroc_pos","CMD.GP3_Heart_pos","CMD.GP3_Kidney_pos","CMD.GP3_Liver_pos","CMD.GP3_Pancreas_pos","CMD.GP3_Quad_pos","CMD.GP3_Spleen_pos","QC.250K2_pos","QC.Blank2_pos","QC.Pool1_pos","QC.Pool2_pos"
"M467T639",466.995390963409,466.99521862522,466.995570445755,639.2105,636.671,648.722,26,17,1168570.06920974,NA,NA,550513.480306641,NA,NA,221247.71008724,NA,714830.656729493,897419.596180659,NA,876797.718528645,1451764.11515067,NA,1061076.4146401,NA,3233646.42960409,416187.016623263,NA,608032.707084963,NA,554808.993864959,1792117.53235177,NA,3065286.93631301,1130103.82326855,NA,1287816.69276042,891445.51502392
"M467T98",467.372304307924,467.372077211401,467.372557543357,97.781,84.7842,110.563,29,25,NA,3814937.79537997,4336621.97554047,9281522.85845456,3808888.30112301,2988165.05131289,28162133.7060898,3575292.75978513,3809086.24082787,2459433.42775203,2705425.43332982,2101547.16161371,4600738.53984766,5762315.59238672,6679369.09937142,3089481.42890261,8463215.179825,NA,4444235.2814894,2667462.05516376,2173564.25784422,5321952.16161275,14100173.4105808,4011398.51402202,7788969.52179741,NA,NA,2334079.25858859,3145168.50419965
"M468T640",468.016107203074,468.015914568992,468.016355360928,640.155,637.094,647.997,21,18,893101.438787981,277424.85309961,NA,2137932.46888851,NA,484089.195149999,NA,NA,1458190.16404394,1265096.5287875,NA,3028358.95623609,2308184.42575295,839686.677840958,1043950.82348524,NA,4229452.05221923,229949.184988282,NA,2431242.83270671,847149.919851564,1235869.05189844,NA,NA,5325757.19012107,5626848.20564059,NA,545837.045486979,NA
"M468T551",468.093962243968,468.093837876092,468.09417308862,551.26,548.704,562.194,27,27,NA,17116104.6014062,737728.408862404,9417367.9695843,57809336.6991668,13149589.4365782,23544727.8879844,417075.604893961,15729151.4493129,35721166.4685367,808968.996502731,22785674.4136068,45702047.1535156,32110615.7622143,15557743.4863321,321804.104331446,15756996.9106412,23526266.8721255,947050.423177991,36155824.4684039,40675357.7581768,21793418.5914733,17401825.06341,1033227.08680824,16239278.4277086,828080.25132261,NA,13048476.6615332,16309164.5882266
"M468T352",468.307972571162,468.307818870241,468.308161009175,351.93,330.05,361.084,32,28,8286594.88046484,2662786.69405989,6432959.46207185,7020600.22826561,11893803.525942,11355944.2194231,11312552.7505241,7654898.14142682,13379413.5875104,10756055.2214904,8319964.63871153,7660293.31100851,15878548.8545992,15973642.2897229,5806489.25225524,7494896.84657292,18044513.215929,3179010.7148625,5601056.48876953,13583697.7567411,9798158.28706248,12659534.68425,8400914.36496026,8426582.2027344,14945968.2182727,6292649.49190576,NA,9128905.67263127,13362613.5537159
"M468T98",468.375649835103,468.375461282771,468.375991148212,97.7839,94.2199,128.248,26,21,NA,NA,1038027.54783889,3812814.26372996,1210703.05735801,1125309.98086412,8743764.83032868,1145696.60836821,1255779.89971102,512408.035537835,NA,323533.616389376,1361089.92611445,1243878.81843594,1851949.52089258,775139.760782666,2499162.20982697,NA,1233117.06751785,919056.531494141,NA,1542211.12680267,4397608.80375776,758746.178028516,1438316.22360938,NA,NA,888238.950658594,NA
"M469T367",468.581264727305,468.580928021596,468.581431118381,366.516,337.739,393.903,36,18,NA,3676356.06493336,7300004.72405222,NA,880431.108008168,NA,1024519.67449219,3014021.395,NA,NA,3306294.57385938,868128.46061426,NA,NA,4735857.92711161,3266319.63288203,2731783.79660867,3469816.06710581,1787515.99529687,NA,732058.107947088,517611.729743263,2784868.63086111,7693392.58167646,4087229.36713689,NA,NA,NA,5111612.96932872
"M469T10",468.768233263616,468.767955863446,468.768920379876,10.209135,1.36691,21.9683,30,15,NA,NA,248028.917386397,NA,NA,NA,599768.53199401,188752.149262533,1692763.62279723,271100.516587578,177855.208529797,537712.833373288,567057.548038333,NA,NA,157669.527116328,289887.72406333,NA,247729.319903772,1740539.38226795,NA,NA,NA,525591.311609689,232116.939225072,NA,NA,377572.97945694,NA
"M469T69",468.768051737556,468.767758842706,468.768193417558,68.9897,56.6171,76.8166,24,15,NA,NA,243459.884507813,NA,NA,NA,1154205.91413144,211108.016064673,1940098.40564571,556913.754638997,565423.456720491,1598866.59317048,1232859.36896105,NA,NA,998829.892451579,980544.407030793,NA,140524.728121484,497473.152804158,NA,NA,NA,118020.090740576,858450.555571905,NA,NA,327725.276759943,NA
"M469T555",469.097826812287,469.097003410757,469.098074353662,554.771,548.275,577.081,39,21,NA,1748191.05134181,NA,845520.260203129,3242441.71095537,2060791.59728491,1775239.02170088,NA,2870061.480045,5372745.07045508,NA,3231069.96734907,1987436.70516799,2942918.87280769,1808939.55678348,NA,1906103.01121835,4318693.94864257,NA,5873249.89531986,6220371.53572322,2597897.75903981,1897876.44082895,106399.580985156,1898475.29547737,NA,NA,1585848.62646707,1917784.01882421
